node_id,timestamp,temperature,humidity,mq2_analog,mq9_analog,mq135_analog,rssi,snr,air_quality,emergency
NODE_002,2025-01-01T00:00:00,26.49,58.62,232,195,423,-69,8.3,Moderate,False
NODE_001,2025-01-01T00:05:00,23.59,65.43,176,136,264,-104,3.0,Good,False
NODE_005,2025-01-01T00:10:00,25.94,50.92,129,193,236,-90,6.3,Good,False
NODE_004,2025-01-01T00:15:00,21.55,63.76,169,141,213,-66,8.5,Good,False
NODE_004,2025-01-01T00:20:00,21.34,62.09,102,110,497,-83,5.7,Moderate,False
NODE_003,2025-01-01T00:25:00,24.1,45.21,164,136,313,-81,4.8,Good,False
NODE_002,2025-01-01T00:30:00,22.97,66.12,251,177,199,-88,4.6,Good,False
NODE_009,2025-01-01T00:35:00,24.44,48.94,140,174,331,-81,4.1,Good,False
NODE_002,2025-01-01T00:40:00,49.11,75.38,587,704,1023,-84,4.4,Hazardous,True
NODE_010,2025-01-01T00:45:00,20.51,52.11,237,143,449,-73,6.8,Moderate,False
NODE_007,2025-01-01T00:50:00,25.94,73.72,208,140,290,-72,5.1,Good,False
NODE_001,2025-01-01T00:55:00,17.03,63.46,180,141,277,-86,3.2,Good,False
NODE_001,2025-01-01T01:00:00,45.3,59.81,1023,580,960,-85,2.5,Hazardous,True
NODE_002,2025-01-01T01:05:00,28.43,67.52,239,122,334,-99,3.0,Good,False
NODE_004,2025-01-01T01:10:00,23.3,61.0,174,103,254,-94,10.6,Good,False
NODE_004,2025-01-01T01:15:00,22.65,56.78,240,113,263,-71,6.8,Good,False
NODE_009,2025-01-01T01:20:00,27.35,47.63,133,165,432,-82,6.9,Moderate,False
NODE_010,2025-01-01T01:25:00,22.86,78.66,223,114,289,-73,3.5,Good,False
NODE_001,2025-01-01T01:30:00,27.89,64.13,241,206,235,-92,5.8,Good,False
NODE_009,2025-01-01T01:35:00,26.02,62.77,241,150,337,-78,3.4,Good,False
NODE_004,2025-01-01T01:40:00,21.79,64.82,188,171,474,-93,1.5,Moderate,False
NODE_009,2025-01-01T01:45:00,23.66,68.56,210,112,260,-81,6.2,Good,False
NODE_007,2025-01-01T01:50:00,21.57,63.58,228,182,313,-79,7.5,Good,False
NODE_004,2025-01-01T01:55:00,26.55,98.53,228,184,307,-78,3.7,Good,False
NODE_008,2025-01-01T02:00:00,24.29,55.15,204,219,137,-89,9.3,Good,False
NODE_010,2025-01-01T02:05:00,25.19,49.22,164,170,206,-82,12.4,Good,False
NODE_005,2025-01-01T02:10:00,26.9,39.75,209,130,301,-79,8.6,Good,False
NODE_001,2025-01-01T02:15:00,21.4,56.65,176,130,355,-80,12.4,Good,False
NODE_003,2025-01-01T02:20:00,43.81,44.81,1023,598,713,-97,5.7,Hazardous,True
NODE_007,2025-01-01T02:25:00,19.02,47.0,277,189,242,-89,7.2,Good,False
NODE_006,2025-01-01T02:30:00,27.73,57.98,203,169,257,-91,12.3,Good,False
NODE_005,2025-01-01T02:35:00,27.06,60.71,221,146,430,-91,4.9,Moderate,False
NODE_003,2025-01-01T02:40:00,27.86,74.53,218,167,455,-102,2.3,Moderate,False
NODE_004,2025-01-01T02:45:00,22.99,71.62,277,136,225,-82,4.4,Good,False
NODE_006,2025-01-01T02:50:00,27.85,57.61,627,141,804,-102,4.7,Poor,False
NODE_002,2025-01-01T02:55:00,28.61,48.03,238,170,208,-85,5.1,Good,False
NODE_002,2025-01-01T03:00:00,27.41,66.14,267,137,519,-89,4.0,Moderate,False
NODE_007,2025-01-01T03:05:00,29.08,39.63,278,140,249,-72,8.3,Good,False
NODE_002,2025-01-01T03:10:00,26.48,60.89,127,124,229,-80,6.2,Good,False
NODE_006,2025-01-01T03:15:00,27.95,64.74,202,218,274,-72,11.4,Good,False
NODE_006,2025-01-01T03:20:00,24.67,69.76,127,173,240,-98,0.3,Good,False
NODE_010,2025-01-01T03:25:00,26.09,65.71,248,172,534,-87,6.9,Moderate,False
NODE_005,2025-01-01T03:30:00,21.71,63.41,195,158,266,-86,5.8,Good,False
NODE_001,2025-01-01T03:35:00,25.78,63.02,465,159,471,-79,9.2,Poor,False
NODE_008,2025-01-01T03:40:00,29.62,51.72,184,157,372,-83,9.5,Good,False
NODE_009,2025-01-01T03:45:00,28.08,61.66,148,141,339,-76,0.8,Good,False
NODE_002,2025-01-01T03:50:00,29.33,68.86,193,156,119,-75,7.0,Good,False
NODE_007,2025-01-01T03:55:00,24.96,67.96,185,100,249,-80,5.6,Good,False
NODE_002,2025-01-01T04:00:00,24.77,48.99,224,172,232,-89,4.6,Good,False
NODE_009,2025-01-01T04:05:00,22.55,54.41,128,144,253,-107,7.5,Good,False
NODE_005,2025-01-01T04:10:00,28.61,68.51,168,127,284,-61,5.1,Good,False
NODE_010,2025-01-01T04:15:00,23.12,38.08,242,120,251,-75,10.6,Good,False
NODE_006,2025-01-01T04:20:00,17.63,51.89,154,144,247,-92,4.9,Good,False
NODE_010,2025-01-01T04:25:00,25.65,69.11,252,169,197,-85,4.7,Good,False
NODE_004,2025-01-01T04:30:00,29.75,56.12,166,191,171,-84,6.4,Good,False
NODE_002,2025-01-01T04:35:00,23.92,57.62,177,131,227,-89,-1.5,Good,False
NODE_001,2025-01-01T04:40:00,27.05,63.9,195,157,266,-79,6.6,Good,False
NODE_004,2025-01-01T04:45:00,31.13,76.2,246,127,216,-95,4.6,Good,False
NODE_005,2025-01-01T04:50:00,24.08,44.76,239,115,266,-86,4.8,Good,False
NODE_002,2025-01-01T04:55:00,23.19,67.6,255,173,206,-60,6.5,Good,False
NODE_004,2025-01-01T05:00:00,25.27,64.88,279,146,256,-88,5.0,Good,False
NODE_002,2025-01-01T05:05:00,26.63,70.35,89,160,233,-75,4.0,Good,False
NODE_007,2025-01-01T05:10:00,18.31,70.52,157,102,250,-76,6.3,Good,False
NODE_005,2025-01-01T05:15:00,22.35,62.87,208,167,197,-89,8.9,Good,False
NODE_008,2025-01-01T05:20:00,25.25,55.13,220,117,200,-69,7.2,Good,False
NODE_006,2025-01-01T05:25:00,23.96,68.29,264,136,396,-71,9.0,Moderate,False
NODE_003,2025-01-01T05:30:00,20.1,62.81,147,134,260,-76,6.5,Good,False
NODE_006,2025-01-01T05:35:00,32.93,57.97,202,203,497,-96,2.0,Moderate,False
NODE_006,2025-01-01T05:40:00,30.66,61.84,546,147,949,-90,5.6,Poor,False
NODE_004,2025-01-01T05:45:00,28.21,54.17,242,80,467,-100,5.2,Moderate,False
NODE_005,2025-01-01T05:50:00,21.62,58.51,199,110,298,-86,2.9,Good,False
NODE_002,2025-01-01T05:55:00,26.55,52.01,191,150,259,-92,8.0,Good,False
NODE_010,2025-01-01T06:00:00,24.66,61.55,328,116,333,-111,2.5,Good,False
NODE_003,2025-01-01T06:05:00,25.61,62.9,187,145,281,-88,5.8,Good,False
NODE_009,2025-01-01T06:10:00,26.46,52.27,195,150,207,-92,6.3,Good,False
NODE_004,2025-01-01T06:15:00,24.61,65.0,147,139,447,-82,10.9,Moderate,False
NODE_003,2025-01-01T06:20:00,21.98,53.43,153,99,492,-93,9.9,Moderate,False
NODE_008,2025-01-01T06:25:00,19.74,67.56,129,187,119,-75,5.9,Good,False
NODE_007,2025-01-01T06:30:00,23.99,73.46,503,170,570,-83,1.1,Poor,False
NODE_005,2025-01-01T06:35:00,46.28,80.06,947,766,1023,-103,2.2,Hazardous,True
NODE_009,2025-01-01T06:40:00,23.13,60.26,225,128,261,-92,3.2,Good,False
NODE_004,2025-01-01T06:45:00,20.94,50.24,252,121,564,-77,4.3,Moderate,False
NODE_006,2025-01-01T06:50:00,25.37,85.6,195,184,207,-85,11.3,Good,False
NODE_001,2025-01-01T06:55:00,23.12,78.12,235,133,287,-75,3.8,Good,False
NODE_004,2025-01-01T07:00:00,24.26,59.26,231,155,396,-74,8.5,Moderate,False
NODE_001,2025-01-01T07:05:00,26.38,59.3,116,162,262,-95,9.2,Good,False
NODE_006,2025-01-01T07:10:00,42.42,66.82,589,650,691,-72,5.2,Hazardous,True
NODE_007,2025-01-01T07:15:00,25.4,64.13,103,130,444,-79,8.1,Moderate,False
NODE_005,2025-01-01T07:20:00,25.14,72.23,165,134,215,-102,3.4,Moderate,False
NODE_002,2025-01-01T07:25:00,27.38,57.0,159,119,186,-104,2.4,Good,False
NODE_004,2025-01-01T07:30:00,21.79,66.83,584,125,721,-68,1.3,Poor,False
NODE_010,2025-01-01T07:35:00,25.22,54.82,170,166,212,-88,2.5,Good,False
NODE_006,2025-01-01T07:40:00,27.39,70.49,217,138,207,-92,3.5,Good,False
NODE_004,2025-01-01T07:45:00,25.49,56.37,229,166,315,-102,2.2,Good,False
NODE_008,2025-01-01T07:50:00,27.65,50.49,157,149,437,-119,3.4,Moderate,False
NODE_007,2025-01-01T07:55:00,28.62,63.43,266,116,374,-75,7.3,Moderate,False
NODE_008,2025-01-01T08:00:00,26.22,67.15,225,175,310,-69,4.9,Good,False
NODE_003,2025-01-01T08:05:00,22.5,53.1,224,162,274,-76,1.5,Good,False
NODE_005,2025-01-01T08:10:00,25.07,60.9,237,109,549,-79,6.1,Moderate,False
NODE_003,2025-01-01T08:15:00,28.63,45.59,208,162,238,-89,0.6,Good,False
NODE_004,2025-01-01T08:20:00,52.83,55.2,790,544,1023,-99,-0.6,Hazardous,True
