temperature,humidity,mq2_analog,mq9_analog,mq135_analog,rssi,snr,air_quality
48.58,51.31,1023,2152,1271,-61,14.4,Hazardous
31.19,59.69,396,2060,859,-60,9.8,Good
34.18,54.09,556,1970,929,-59,13.0,Moderate
31.37,50.16,481,1880,853,-62,14.3,Good
25.73,46.78,475,2032,899,-69,12.8,Good
31.67,63.7,508,2009,917,-64,10.4,Moderate
27.64,54.38,509,2021,893,-64,11.8,Good
30.43,60.63,483,1831,883,-60,12.7,Good
33.73,51.25,584,2015,1079,-46,10.5,Moderate
30.24,53.47,496,1938,857,-67,11.7,Good
27.84,50.2,491,1974,903,-66,10.7,Good
31.33,46.52,554,1933,907,-58,9.8,Moderate
30.51,49.79,467,2123,812,-58,15.0,Good
27.86,52.84,430,1933,864,-52,11.9,Good
29.33,52.14,434,2078,887,-65,11.0,Good
27.92,50.65,465,2061,919,-59,13.8,Good
30.31,46.86,492,1828,874,-54,12.2,Good
30.22,54.36,461,2106,904,-51,12.9,Good
28.75,51.29,411,2015,869,-66,12.0,Good
27.56,57.52,489,2306,817,-56,12.5,Good
29.09,42.32,444,2136,916,-61,12.8,Good
33.3,52.95,892,2775,894,-69,12.5,Hazardous
29.66,49.44,550,2009,1047,-51,12.3,Moderate
30.31,57.33,441,2138,906,-63,12.5,Good
29.39,59.19,470,2133,909,-58,12.3,Good
44.65,47.72,1021,1946,1009,-58,11.4,Hazardous
30.45,49.45,506,1984,855,-66,10.9,Good
42.26,45.46,812,1914,1479,-51,11.0,Hazardous
29.61,45.7,497,2212,911,-67,11.3,Good
29.67,55.87,442,1994,740,-65,11.6,Good
27.13,49.8,473,2144,812,-54,12.0,Good
29.3,49.0,472,1961,874,-56,14.4,Good
29.5,51.24,557,2028,987,-61,11.3,Moderate
27.96,56.5,479,2081,895,-64,11.2,Good
28.97,52.59,508,1940,891,-61,11.7,Good
30.65,58.53,470,2068,857,-58,11.8,Good
45.91,62.46,1211,1878,1356,-56,12.9,Hazardous
29.14,52.41,462,2118,849,-66,9.6,Good
29.12,50.41,483,2018,903,-53,10.6,Good
27.47,56.16,448,1812,847,-67,14.4,Good
29.71,56.2,504,1946,813,-64,11.9,Good
26.15,55.0,464,2028,851,-58,11.3,Good
28.17,47.51,515,2036,878,-64,11.6,Good
27.19,59.95,447,1912,816,-63,11.3,Good
43.56,44.43,947,1987,1324,-56,12.2,Hazardous
30.87,53.7,579,2027,996,-72,10.6,Moderate
31.58,50.43,534,1863,1093,-54,14.3,Moderate
31.33,74.88,801,2102,1465,-65,11.6,Moderate
29.07,43.35,513,2088,864,-58,8.7,Good
30.47,53.65,469,2079,858,-68,12.0,Good
29.6,51.39,467,1889,889,-56,11.6,Good
31.53,49.62,431,1944,937,-60,12.1,Moderate
30.28,48.9,447,2057,848,-66,15.6,Good
28.53,56.26,440,2002,908,-64,12.1,Good
27.78,47.48,464,1995,827,-63,10.8,Good
28.47,57.28,489,1912,869,-48,13.5,Good
29.79,48.66,617,1869,870,-55,12.0,Moderate
28.43,49.93,445,1945,769,-56,12.6,Good
28.87,48.38,454,2052,878,-49,14.4,Good
28.15,46.99,478,1725,851,-61,9.7,Good
30.2,65.92,421,1985,853,-63,13.1,Good
30.5,64.17,595,1896,946,-59,12.7,Moderate
28.52,50.4,486,2103,781,-58,11.6,Good
30.42,48.62,403,2105,836,-67,12.0,Good
30.34,52.48,443,2028,876,-57,10.7,Good
30.05,56.83,647,1951,1006,-65,10.8,Moderate
30.24,58.43,456,1957,847,-55,13.5,Good
26.55,53.4,438,1948,876,-55,10.7,Good
25.51,52.9,549,1979,871,-51,12.9,Good
29.38,46.3,429,2188,877,-59,11.9,Good
32.06,64.69,690,2698,864,-54,11.1,Hazardous
24.82,52.81,493,2047,808,-54,11.0,Good
29.12,44.58,468,2042,914,-59,10.0,Good
29.22,45.19,412,1943,915,-48,11.1,Good
26.52,55.5,477,2181,808,-46,14.4,Good
28.97,52.55,464,2051,858,-52,12.2,Good
28.61,57.12,421,2034,871,-67,9.4,Good
32.85,60.58,651,2124,1024,-61,10.4,Moderate
37.2,54.64,709,2887,915,-62,13.6,Hazardous
28.46,50.22,477,2028,871,-66,11.8,Good
30.3,57.29,429,1953,829,-50,13.7,Good
31.82,51.96,565,1985,896,-50,12.0,Moderate
30.27,51.51,538,2118,880,-52,11.3,Good
31.1,50.89,621,1987,911,-52,11.8,Moderate
27.15,52.73,477,2023,850,-48,10.1,Good
27.01,80.14,788,2098,1468,-58,14.9,Moderate
30.59,58.77,500,2014,854,-59,11.2,Good
25.36,50.6,562,1941,1029,-60,14.0,Moderate
31.02,58.49,497,1798,910,-60,8.2,Good
30.95,52.88,511,2123,903,-73,13.1,Good
29.3,51.9,617,1982,983,-62,9.6,Moderate
