node_id,timestamp,temperature,humidity,mq2_analog,mq9_analog,mq135_analog,rssi,snr,air_quality,emergency
NODE_001,2025-01-01T00:00:00,25.5,59.72,206,165,247,-85,6.1,Good,False
NODE_001,2025-01-01T00:05:00,26.01,58.84,194,144,240,-88,5.7,Good,False
NODE_001,2025-01-01T00:10:00,23.99,60.63,190,135,264,-85,7.3,Good,False
NODE_001,2025-01-01T00:15:00,25.39,60.24,194,143,259,-86,6.9,Good,False
NODE_001,2025-01-01T00:20:00,24.99,57.88,208,137,252,-88,6.1,Good,False
NODE_001,2025-01-01T00:25:00,25.88,57.98,184,157,244,-84,5.1,Good,False
NODE_001,2025-01-01T00:30:00,25.32,59.23,193,156,260,-83,5.9,Good,False
NODE_001,2025-01-01T00:35:00,24.38,56.98,210,148,245,-83,6.7,Good,False
NODE_001,2025-01-01T00:40:00,24.93,62.01,203,143,253,-81,7.7,Good,False
NODE_001,2025-01-01T00:45:00,24.08,59.2,199,135,260,-85,6.2,Good,False
NODE_001,2025-01-01T00:50:00,26.48,58.96,191,144,259,-84,6.7,Good,False
NODE_001,2025-01-01T00:55:00,25.18,59.38,206,147,246,-84,6.1,Good,False
NODE_001,2025-01-01T01:00:00,25.01,59.53,185,145,246,-86,6.1,Good,False
NODE_001,2025-01-01T01:05:00,22.98,58.11,214,149,233,-84,7.2,Good,False
NODE_001,2025-01-01T01:10:00,24.81,60.6,199,138,261,-83,5.6,Good,False
NODE_001,2025-01-01T01:15:00,26.38,62.81,213,141,250,-86,5.7,Good,False
NODE_001,2025-01-01T01:20:00,25.1,58.99,184,150,239,-84,6.3,Good,False
NODE_001,2025-01-01T01:25:00,24.84,59.22,191,146,255,-84,6.7,Good,False
NODE_001,2025-01-01T01:30:00,23.39,60.37,202,157,237,-87,6.3,Good,False
NODE_001,2025-01-01T01:35:00,26.22,60.45,208,151,237,-87,6.3,Good,False
NODE_001,2025-01-01T01:40:00,24.03,61.57,211,141,259,-84,5.6,Good,False
NODE_001,2025-01-01T01:45:00,25.15,57.26,192,158,247,-84,6.7,Good,False
NODE_001,2025-01-01T01:50:00,24.74,65.44,206,141,239,-84,5.9,Good,False
NODE_001,2025-01-01T01:55:00,25.74,59.1,207,160,246,-84,5.4,Good,False
NODE_001,2025-01-01T02:00:00,25.17,60.77,191,151,250,-87,6.4,Good,False
NODE_001,2025-01-01T02:05:00,26.07,58.08,213,159,243,-83,7.9,Good,False
NODE_001,2025-01-01T02:10:00,25.57,62.27,209,156,246,-83,6.1,Good,False
NODE_001,2025-01-01T02:15:00,24.14,59.92,194,132,253,-85,6.5,Good,False
NODE_001,2025-01-01T02:20:00,25.06,57.84,192,156,242,-84,7.2,Good,False
NODE_001,2025-01-01T02:25:00,26.84,62.73,208,150,254,-86,6.4,Good,False
NODE_001,2025-01-01T02:30:00,24.21,59.77,205,158,237,-85,6.2,Good,False
NODE_001,2025-01-01T02:35:00,23.39,61.89,212,153,266,-88,5.8,Good,False
NODE_001,2025-01-01T02:40:00,26.27,58.58,204,157,240,-85,5.4,Good,False
NODE_001,2025-01-01T02:45:00,24.89,56.01,186,165,263,-82,5.3,Good,False
NODE_001,2025-01-01T02:50:00,26.16,60.02,190,154,251,-86,6.3,Good,False
NODE_001,2025-01-01T02:55:00,25.13,56.21,212,143,271,-85,6.3,Good,False
NODE_001,2025-01-01T03:00:00,25.28,58.75,197,145,244,-83,6.5,Good,False
NODE_001,2025-01-01T03:05:00,26.45,60.72,205,143,258,-83,6.3,Good,False
NODE_001,2025-01-01T03:10:00,24.98,60.23,212,144,255,-85,6.8,Good,False
NODE_001,2025-01-01T03:15:00,24.56,59.18,202,150,259,-83,5.8,Good,False
NODE_001,2025-01-01T03:20:00,25.32,59.74,200,155,241,-80,6.6,Good,False
NODE_001,2025-01-01T03:25:00,23.8,61.54,206,143,249,-83,5.9,Good,False
NODE_001,2025-01-01T03:30:00,24.17,59.36,204,144,241,-84,5.8,Good,False
NODE_001,2025-01-01T03:35:00,25.2,61.12,208,161,245,-86,5.9,Good,False
NODE_001,2025-01-01T03:40:00,24.81,62.95,195,148,274,-83,6.2,Good,False
NODE_001,2025-01-01T03:45:00,25.58,57.11,247,173,291,-80,6.2,Good,False
NODE_001,2025-01-01T03:50:00,25.97,63.72,255,220,317,-87,6.5,Good,False
NODE_001,2025-01-01T03:55:00,24.92,56.17,341,223,365,-85,5.9,Good,False
NODE_001,2025-01-01T04:00:00,27.25,57.81,299,203,395,-85,6.1,Moderate,False
NODE_001,2025-01-01T04:05:00,26.89,63.03,395,258,446,-86,5.8,Moderate,False
NODE_001,2025-01-01T04:10:00,28.55,64.09,439,277,448,-85,6.7,Moderate,False
NODE_001,2025-01-01T04:15:00,29.5,59.13,447,263,475,-85,6.7,Moderate,False
NODE_001,2025-01-01T04:20:00,28.79,60.66,489,310,560,-87,5.9,Poor,False
NODE_001,2025-01-01T04:25:00,30.04,57.8,524,311,564,-86,5.7,Poor,False
NODE_001,2025-01-01T04:30:00,28.13,59.62,573,332,628,-86,5.6,Poor,False
NODE_001,2025-01-01T04:35:00,38.12,58.91,690,642,850,-84,6.5,Hazardous,True
NODE_001,2025-01-01T04:40:00,37.29,60.16,790,597,846,-86,5.6,Hazardous,True
NODE_001,2025-01-01T04:45:00,37.38,60.44,799,718,950,-85,6.8,Hazardous,True
NODE_001,2025-01-01T04:50:00,24.61,58.66,213,136,230,-83,5.3,Good,False
NODE_001,2025-01-01T04:55:00,25.56,58.7,195,144,241,-90,6.3,Good,False
NODE_001,2025-01-01T05:00:00,25.39,59.83,202,152,242,-86,6.0,Good,False
NODE_001,2025-01-01T05:05:00,25.75,56.66,205,143,255,-84,4.6,Good,False
NODE_001,2025-01-01T05:10:00,24.54,59.39,184,157,238,-84,5.7,Good,False
NODE_001,2025-01-01T05:15:00,25.05,58.28,196,160,244,-82,6.4,Good,False
NODE_001,2025-01-01T05:20:00,24.28,64.87,182,139,251,-84,6.0,Good,False
NODE_001,2025-01-01T05:25:00,24.84,62.34,202,153,245,-85,5.8,Good,False
NODE_001,2025-01-01T05:30:00,25.54,62.07,177,153,247,-83,5.0,Good,False
NODE_001,2025-01-01T05:35:00,23.99,56.26,196,150,266,-85,6.4,Good,False
NODE_001,2025-01-01T05:40:00,25.89,60.19,191,152,251,-83,6.2,Good,False
NODE_001,2025-01-01T05:45:00,24.58,61.27,222,151,252,-87,5.6,Good,False
NODE_001,2025-01-01T05:50:00,26.51,60.8,196,158,262,-85,6.4,Good,False
NODE_001,2025-01-01T05:55:00,24.08,61.74,213,154,268,-87,5.7,Good,False
NODE_001,2025-01-01T06:00:00,25.17,61.67,191,126,251,-79,6.1,Good,False
NODE_001,2025-01-01T06:05:00,25.73,60.96,202,142,254,-87,6.9,Good,False
NODE_001,2025-01-01T06:10:00,25.18,60.2,199,157,275,-83,5.9,Good,False
NODE_001,2025-01-01T06:15:00,24.57,57.98,183,158,250,-82,5.6,Good,False
NODE_001,2025-01-01T06:20:00,23.5,59.48,188,148,249,-87,5.9,Good,False
NODE_001,2025-01-01T06:25:00,25.7,63.7,211,147,238,-84,6.1,Good,False
NODE_001,2025-01-01T06:30:00,24.32,60.3,192,156,248,-84,6.0,Good,False
NODE_001,2025-01-01T06:35:00,24.46,58.57,201,147,265,-89,5.4,Good,False
NODE_001,2025-01-01T06:40:00,23.82,60.41,202,147,248,-83,5.4,Good,False
NODE_001,2025-01-01T06:45:00,26.8,61.87,210,167,217,-85,5.9,Good,False
NODE_001,2025-01-01T06:50:00,26.14,58.12,255,166,299,-81,5.4,Good,False
NODE_001,2025-01-01T06:55:00,26.47,62.63,271,188,357,-83,6.0,Moderate,False
NODE_001,2025-01-01T07:00:00,26.96,62.69,395,258,410,-83,7.0,Moderate,False
NODE_001,2025-01-01T07:05:00,28.55,59.06,481,296,547,-84,4.8,Moderate,False
NODE_001,2025-01-01T07:10:00,28.42,60.4,545,303,578,-88,7.0,Poor,False
NODE_001,2025-01-01T07:15:00,39.98,60.19,767,515,949,-85,6.1,Hazardous,True
NODE_001,2025-01-01T07:20:00,38.8,59.33,824,626,845,-83,5.1,Hazardous,True
NODE_001,2025-01-01T07:25:00,42.45,57.36,830,664,953,-85,6.3,Hazardous,True
NODE_001,2025-01-01T07:30:00,39.36,59.88,856,595,876,-83,5.3,Hazardous,True
NODE_001,2025-01-01T07:35:00,41.24,57.92,703,567,952,-83,6.1,Hazardous,True
NODE_001,2025-01-01T07:40:00,37.95,61.17,774,475,945,-84,5.2,Hazardous,True
NODE_001,2025-01-01T07:45:00,36.98,58.25,747,503,839,-87,6.3,Hazardous,True
NODE_001,2025-01-01T07:50:00,44.86,58.35,721,603,874,-86,6.3,Hazardous,True
NODE_001,2025-01-01T07:55:00,24.38,59.01,198,146,238,-86,6.2,Good,False
NODE_001,2025-01-01T08:00:00,24.45,61.27,202,134,265,-81,5.8,Good,False
NODE_001,2025-01-01T08:05:00,25.58,61.09,210,141,251,-87,5.6,Good,False
NODE_001,2025-01-01T08:10:00,24.97,63.59,194,152,249,-82,6.6,Good,False
NODE_001,2025-01-01T08:15:00,25.34,62.65,188,133,254,-83,6.6,Good,False
NODE_001,2025-01-01T08:20:00,25.82,61.01,210,161,263,-83,5.8,Good,False
NODE_001,2025-01-01T08:25:00,24.17,58.62,204,154,254,-84,6.0,Good,False
NODE_001,2025-01-01T08:30:00,23.64,61.49,206,171,246,-84,6.3,Good,False
